,date_mutation,valeur_fonciere,surface_reelle_bati,code_postal,longitude,latitude
2226087,2017-01-05,578800.0,20.0,69001.0,4.83439,45.768176000000004
2226088,2017-01-05,578800.0,100.0,69001.0,4.83439,45.768176000000004
2226089,2017-01-03,569800.0,138.0,69004.0,4.827351,45.776158
2226092,2017-01-05,240000.0,43.0,69002.0,4.820142,45.744794
2226094,2017-01-09,240000.0,51.0,69004.0,4.8303,45.778153
2226096,2017-01-04,149000.0,25.0,69002.0,4.833461,45.764014
2226097,2017-01-03,165000.0,45.0,69009.0,4.805186,45.771910999999996
2226102,2017-01-03,372500.0,77.0,69002.0,4.832552,45.75262
2226103,2017-01-03,99000.0,40.0,69009.0,4.833257,45.799316999999995
2226106,2017-01-09,200000.0,63.0,69001.0,4.8330720000000005,45.767965999999994
2226107,2017-01-09,200000.0,60.0,69001.0,4.8330720000000005,45.767965999999994
2226108,2017-01-06,550000.0,134.0,69002.0,4.833073000000001,45.759236
2226110,2017-01-05,129000.0,41.0,69009.0,4.805594,45.780322999999996
2226122,2017-01-13,171570.0,82.0,69005.0,4.817174,45.753395000000005
2226127,2017-01-13,416150.0,82.0,69004.0,4.838431,45.778483
2226128,2017-01-17,155000.0,34.0,69004.0,4.833532,45.775771999999996
2226129,2017-01-13,303200.0,90.0,69004.0,4.833451,45.778178000000004
2226133,2017-01-13,269000.0,52.0,69001.0,4.829549,45.77362
2226134,2017-01-12,212000.0,71.0,69005.0,4.783899,45.752559000000005
2226136,2017-01-19,118000.0,33.0,69005.0,4.801558,45.755645
2226141,2017-01-09,538000.0,116.0,69004.0,4.8185709999999995,45.775683
2226147,2017-01-11,110000.0,38.0,69009.0,4.829083,45.800266
2226160,2017-01-13,179000.0,80.0,69009.0,4.790103,45.764871
2226162,2017-01-12,161500.0,50.0,69009.0,4.801462,45.779429
2226166,2017-01-05,165120.0,50.0,69009.0,4.8013959999999996,45.772512
2226169,2017-01-05,213400.0,80.0,69009.0,4.794027,45.7863
2226170,2017-01-13,112000.0,34.0,69001.0,4.827626,45.772521999999995
2226171,2017-01-12,272650.0,50.0,69004.0,4.835787,45.778352000000005
2226173,2017-01-16,373000.0,107.0,69005.0,4.795259,45.756682
2226187,2017-01-20,313000.0,81.0,69009.0,4.805937999999999,45.777515
2226190,2017-01-16,240000.0,68.0,69005.0,4.774088,45.750840999999994
2226192,2017-01-18,260970.0,70.0,69009.0,4.805385,45.777143
2226193,2017-01-13,125000.0,33.0,69002.0,4.834873,45.756934
2226199,2017-01-09,288000.0,50.0,69004.0,4.8303,45.778153
2226205,2017-01-17,160100.0,76.0,69009.0,4.8,45.79047
2226206,2017-01-16,145000.0,54.0,69005.0,4.806853,45.759279
2226212,2017-01-03,256000.0,64.0,69009.0,4.795465,45.773866
2226213,2017-01-05,102600.0,28.0,69001.0,4.831904,45.773559000000006
2226215,2017-01-09,405040.0,90.0,69001.0,4.836656,45.767112
2226220,2017-01-20,386681.0,93.0,69001.0,4.8342529999999995,45.768772999999996
2226225,2017-01-12,200000.0,65.0,69004.0,4.8243480000000005,45.777155
2226227,2017-01-06,133588.0,34.0,69001.0,4.835881,45.769464
2226241,2017-01-16,280610.0,61.0,69001.0,4.832264,45.768811
